date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,103.4,103.4,101.85,24.0792540828,4207300.0,0.4698,0.0573,0.5271,24.3868,21.8571,23.122,63.1627,23.8618,23.3244,4.8682,174.6069,15.9764,True
2012-01-04,101.69,102.46,100.0,23.6490586511,4130500.0,0.4751,0.0211,0.4962,24.4278,21.9351,23.1815,57.4973,23.8263,23.3903,4.2425,135.7428,12.4518,True
2012-01-05,100.71,102.21,99.66,23.8267480685,3024100.0,0.4762,0.0044,0.4806,24.465,22.0508,23.2579,59.12,23.8819,23.4838,6.1591,130.9548,11.8166,True
2012-01-06,101.96,102.22,100.22,23.5461858304,3272300.0,0.469,-0.0286,0.4404,24.485,22.1159,23.3005,55.5332,23.7678,23.5516,4.9002,121.155,11.8315,False
2012-01-09,101.01,101.18,98.78,23.3568063197,4500600.0,0.453,-0.0642,0.3888,24.4582,22.2385,23.3484,53.199,23.6916,23.6152,3.3844,94.5496,9.1322,False
2012-01-10,100.87,100.95,99.45,23.3334261332,4677900.0,0.4308,-0.0887,0.3421,24.4513,22.3066,23.3789,52.9049,23.5424,23.652,3.581,93.2387,9.1322,False
2012-01-11,98.98,99.5,98.33,23.1721028463,4754000.0,0.4024,-0.1136,0.2888,24.4304,22.3786,23.4045,50.8272,23.4471,23.6603,2.1561,68.5686,7.0537,False
2012-01-12,99.38,101.68,99.3799,23.6934810054,4177200.0,0.379,-0.0937,0.2853,24.3958,22.5402,23.468,56.7136,23.4204,23.6601,4.2444,101.4966,10.4304,False
2012-01-13,100.72,101.79,100.28,23.5531998864,4155800.0,0.3568,-0.0887,0.2681,24.3411,22.6973,23.5192,54.8217,23.4218,23.6604,5.2202,100.3878,10.5971,False
2012-01-17,101.3,102.94,101.19,23.9717052248,4254700.0,0.3424,-0.0575,0.2849,24.2629,22.9323,23.5976,59.1747,23.5448,23.6915,5.7748,121.4015,12.3314,False
2012-01-18,102.16,103.88,102.11,24.2639575562,2938100.0,0.3376,-0.0194,0.3182,24.2852,23.0583,23.6717,61.9199,23.7309,23.7117,6.2711,136.5453,13.7227,False
2012-01-19,104.16,104.2,102.25,23.9342969264,3641900.0,0.3329,-0.0186,0.3144,24.2678,23.1643,23.716,57.266,23.8833,23.7189,4.8606,124.9725,14.1941,False
2012-01-20,102.39,102.52,99.8,23.515791588,5008200.0,0.3212,-0.0468,0.2744,24.2657,23.1484,23.707,51.9547,23.8478,23.7167,1.0049,83.8412,9.5342,False
2012-01-23,100.75,100.89,98.8,23.2866657602,4041600.0,0.3013,-0.0797,0.2216,24.2785,23.1094,23.6939,49.2739,23.7945,23.6614,-0.3654,58.6981,7.7099,False
2012-01-24,99.05,101.27,98.99,23.6163263899,3035200.0,0.2819,-0.0778,0.2041,24.2789,23.12,23.6994,53.0114,23.7234,23.6533,-0.6864,68.6971,8.3001,False
2012-01-25,100.61,100.97,99.8,23.5111155507,3772100.0,0.2614,-0.0818,0.1796,24.2491,23.1049,23.677,51.7086,23.5728,23.6154,-1.4927,66.6187,8.3001,False
2012-01-26,100.72,102.15,99.98,23.5812561102,3484800.0,0.2419,-0.0779,0.164,24.2339,23.0955,23.6647,52.5417,23.5022,23.6109,-1.2566,74.5366,10.1455,False
2012-01-27,100.41,101.53,99.9,23.6256784645,2840700.0,0.2242,-0.0708,0.1535,24.2356,23.1015,23.6686,53.0908,23.5242,23.5975,-0.4608,68.9158,9.9929,False
2012-01-30,100.14,100.52,99.5,23.3521302824,3119000.0,0.2037,-0.0821,0.1216,24.174,23.0867,23.6304,49.3253,23.5373,23.5845,-2.6394,50.4856,9.2234,False
2012-01-31,100.49,100.78,99.83,23.5298196999,3310100.0,0.1849,-0.0754,0.1095,24.1629,23.077,23.62,51.7091,23.52,23.5961,-2.345,57.1046,9.6413,False
2012-02-01,101.18,102.7,100.6025,23.9670291875,3844200.0,0.1746,-0.041,0.1336,24.1403,23.0884,23.6143,57.037,23.6112,23.6383,-0.677,84.0424,12.6605,False
2012-02-02,103.78,107.12,103.59,24.7970258085,8435100.0,0.1831,0.034,0.2171,24.4086,22.9349,23.6717,64.9113,23.8543,23.7466,4.5481,149.795,18.9971,True
