date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,36.4,36.45,35.67,35.82,1933000.0,0.8451,0.0332,0.8119,34.6965,36.8505,32.5425,65.4728,35.822,35.074,6.5182,144.5275,17.3015,True
2012-01-04,35.74,35.87,35.43,35.82,1606400.0,0.8197,0.0063,0.8135,34.8025,36.9586,32.6464,65.4728,35.738,35.2153,4.5011,128.0121,16.2264,True
2012-01-05,35.7,35.82,35.24,35.74,1774000.0,0.7841,-0.0235,0.8076,34.9115,37.0253,32.7977,64.3087,35.754,35.3733,5.3839,119.3143,15.3751,False
2012-01-06,35.57,35.75,35.3,35.4,2014500.0,0.7201,-0.07,0.7901,35.0135,37.0117,33.0153,59.492,35.7,35.5173,6.1776,110.7056,15.3751,False
2012-01-09,34.94,35.24,34.75,35.02,2611000.0,0.6315,-0.1269,0.7584,35.1015,36.931,33.272,54.5953,35.56,35.5787,4.7874,86.1957,12.8995,False
2012-01-10,35.42,35.81,35.15,35.72,2015700.0,0.6107,-0.1181,0.7288,35.1905,36.9574,33.4236,60.9406,35.54,35.6453,4.7076,108.7804,14.8257,False
2012-01-11,35.78,36.09,35.58,35.58,1323300.0,0.5763,-0.1221,0.6983,35.2845,36.9193,33.6497,59.1687,35.492,35.6973,6.6489,114.1147,15.7563,False
2012-01-12,35.63,35.905,35.57,35.81,1020500.0,0.5611,-0.1098,0.6709,35.4065,36.7976,34.0154,61.1566,35.506,35.7133,4.8627,111.2029,15.7104,False
2012-01-13,35.7,35.85,35.39,35.54,972200.0,0.5213,-0.1197,0.641,35.5215,36.4947,34.5483,57.6277,35.534,35.704,7.3353,99.8355,14.8762,False
2012-01-17,35.92,36.225,35.72,35.8,931600.0,0.5048,-0.1089,0.6137,35.6065,36.3342,34.8788,60.0086,35.69,35.6927,5.952,111.5762,16.1568,False
2012-01-18,35.87,36.13,35.7,35.91,1961800.0,0.495,-0.095,0.59,35.666,36.2798,35.0522,61.0019,35.728,35.6967,3.2581,107.8336,16.0621,False
2012-01-19,35.96,36.16,35.73,35.75,1950200.0,0.4689,-0.0969,0.5658,35.7135,36.1816,35.2454,58.7286,35.762,35.664,2.8149,102.2581,16.1664,False
2012-01-20,35.69,36.15,35.59,36.01,1655400.0,0.4638,-0.0815,0.5454,35.7355,36.2157,35.2553,61.2433,35.802,35.6873,1.3315,99.762,15.4856,False
2012-01-23,35.98,36.24,35.81,36.1,980700.0,0.4618,-0.0669,0.5287,35.7565,36.2613,35.2517,62.0997,35.914,35.716,0.1935,101.82,15.8082,False
2012-01-24,35.99,36.57,35.88,36.52,1142800.0,0.4884,-0.0322,0.5206,35.784,36.3834,35.1846,65.8707,36.058,35.7693,1.1618,110.4926,16.9895,False
