date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,31.38,31.66,30.94,24.8325396859,2761400.0,0.7019,0.5363,-0.1656,25.1431,26.0129,24.2734,54.6041,24.8518,25.0051,-5.2096,86.0376,2.9086,False
2012-01-04,30.86,31.355,30.49,25.0890410642,4369700.0,0.6637,0.5107,-0.153,25.1147,25.9518,24.2776,56.3946,24.863,24.9709,-3.819,78.241,1.6323,False
2012-01-05,32.44,33.48,32.27,26.2593286027,7084100.0,0.6466,0.5782,-0.0684,25.158,26.1274,24.1886,63.4428,25.1836,25.0618,3.8462,127.1906,7.1618,False
2012-01-06,32.86,34.03,32.58,26.8444723719,4514600.0,0.6515,0.6712,0.0197,25.2249,26.4359,24.0139,66.356,25.5668,25.221,6.211,135.4142,8.5154,True
2012-01-09,33.37,34.025,33.06,27.0528797418,4427800.0,0.6718,0.753,0.0812,25.3139,26.7639,23.8638,67.3489,26.0157,25.3856,5.7679,135.1107,8.5154,True
2012-01-10,34.18,34.64,33.5,26.8765350442,5062500.0,0.6963,0.7944,0.0981,25.36,26.9412,23.7787,65.5939,26.4245,25.5235,5.6742,135.6079,10.0323,True
2012-01-11,33.39,33.47,32.78,26.740268687,3448200.0,0.7185,0.807,0.0885,25.4169,27.1071,23.7267,64.2086,26.7547,25.6688,3.4941,111.6615,7.9022,True
2012-01-12,33.37,33.92,33.3,27.1410520906,3560200.0,0.7427,0.8396,0.0969,25.5291,27.3585,23.6997,66.442,26.931,25.7741,5.3416,119.3781,9.0216,True
2012-01-13,33.49,33.86,32.95,26.7322530189,2405100.0,0.7587,0.823,0.0642,25.6429,27.4743,23.8115,62.2003,26.9086,25.8783,8.9447,107.1437,7.9835,True
2012-01-17,33.68,33.96,32.88,26.5238456491,3519500.0,0.7638,0.7839,0.0202,25.7399,27.542,23.9379,60.1045,26.8028,25.9521,9.0559,101.6853,8.2374,True
2012-01-18,33.12,33.82,32.99,26.9807387291,2986600.0,0.7672,0.7809,0.0137,25.8485,27.6746,24.0224,63.0305,26.8236,26.0333,6.7888,102.989,8.2374,True
2012-01-19,33.72,34.35,33.64,27.2131931032,4243300.0,0.7714,0.7881,0.0167,25.9812,27.7991,24.1633,64.4517,26.9182,26.1786,9.5694,111.8292,9.6045,True
