date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,18.77,18.81,18.52,13.5584850344,5402000.0,0.2639,0.2399,0.0241,13.1155,13.6946,12.5364,61.9336,13.4167,13.1516,6.882,163.8333,6.7243,True
2012-01-04,18.47,18.57,18.21,13.3757561256,4604500.0,0.2525,0.2424,0.0101,13.1368,13.7213,12.5523,57.6911,13.4094,13.1906,4.047,129.3032,4.1173,True
2012-01-05,18.24,18.41,18.06,13.4415385328,3228700.0,0.246,0.2431,0.0028,13.1595,13.7542,12.5648,58.7802,13.4401,13.2364,3.2657,116.5526,2.8806,True
2012-01-06,18.32,18.41,18.17,13.3830652819,3711300.0,0.2333,0.2412,-0.0078,13.1789,13.7762,12.5817,57.3736,13.4211,13.2861,3.2657,113.5146,2.8806,False
2012-01-09,18.29,18.42,18.21,13.4269202201,4130700.0,0.2243,0.2378,-0.0135,13.2064,13.7962,12.6166,58.1778,13.4372,13.3358,3.3795,113.4465,2.9601,False
2012-01-10,18.57,18.84,18.475,13.5950308162,8024400.0,0.2281,0.2358,-0.0078,13.2248,13.8385,12.6111,61.1854,13.4445,13.3758,4.1082,142.5518,6.2369,False
2012-01-11,18.53,18.81,18.421,13.7339047869,3378400.0,0.2395,0.2366,0.0029,13.272,13.8899,12.654,63.5081,13.5161,13.4362,4.9818,140.346,5.7699,True
2012-01-12,18.84,19.0,18.77,13.8654696012,4114100.0,0.2562,0.2405,0.0157,13.3275,13.9491,12.706,65.5978,13.6009,13.4698,6.0423,159.855,7.2291,True
2012-01-13,18.8,18.89,18.77,13.7631414123,5699500.0,0.2582,0.2441,0.0142,13.3838,13.9463,12.8213,62.6101,13.6769,13.5034,9.0012,143.9971,7.2291,True
2012-01-17,18.97,19.06,18.47,13.5219392526,6574100.0,0.2376,0.2428,-0.0051,13.4258,13.889,12.9627,56.1512,13.6959,13.5127,8.6659,122.7079,4.5846,False
2012-01-18,18.52,18.87,18.36,13.7485230996,3829500.0,0.2369,0.2416,-0.0047,13.4635,13.9024,13.0245,60.2758,13.7266,13.5292,4.3118,118.6662,3.6315,False
2012-01-19,18.84,19.15,18.66,13.9970344156,5439100.0,0.2534,0.2439,0.0094,13.5219,13.9157,13.1282,64.2296,13.7792,13.5682,6.7447,144.3881,5.8523,True
2012-01-20,19.09,19.2,18.94,13.923942852,5208400.0,0.2576,0.2467,0.0109,13.5501,13.9732,13.1269,62.2763,13.7909,13.6106,4.8035,144.8425,6.2447,True
2012-01-23,19.0,19.17,18.86,13.8216146631,3167100.0,0.2498,0.2473,0.0025,13.5782,13.9949,13.1615,59.5594,13.8026,13.6335,4.8114,130.7206,5.5291,True
2012-01-24,18.8,19.24,18.77,14.0043435719,3567400.0,0.2554,0.2489,0.0065,13.6093,14.0548,13.1638,62.6749,13.8991,13.6774,4.5652,132.412,4.7222,True
2012-01-25,19.13,19.57,19.03,14.2601640443,4740900.0,0.2773,0.2546,0.0227,13.6473,14.1717,13.1228,66.5414,14.0014,13.7242,5.9556,154.2535,7.3635,True
2012-01-26,19.54,19.54,19.115,13.9897252592,4078200.0,0.2698,0.2576,0.0121,13.6762,14.2092,13.1431,59.5539,14.0,13.7651,5.9079,137.8036,7.3635,True
2012-01-27,19.04,19.24,19.0,14.0043435719,2692100.0,0.2619,0.2585,0.0034,13.712,14.232,13.192,59.7984,14.016,13.8026,4.3384,120.0411,6.3014,True
2012-01-30,19.0,19.09,18.87,13.9385611648,2852200.0,0.2476,0.2563,-0.0088,13.735,14.2523,13.2177,58.1049,14.0394,13.8396,3.3568,105.0801,5.1061,False
2012-01-31,19.12,19.15,18.91,13.9604886338,3229000.0,0.2352,0.2521,-0.0169,13.7657,14.2595,13.2719,58.5244,14.0307,13.8752,3.6255,104.6098,5.6043,False
2012-02-01,19.2,19.3,19.08,14.0335801973,5338100.0,0.2287,0.2474,-0.0187,13.7895,14.2868,13.2921,59.9564,13.9853,13.9045,2.605,111.8311,6.8476,False
2012-02-02,19.23,19.3,19.05,14.0189618846,3515700.0,0.2198,0.2419,-0.0221,13.8216,14.2901,13.3531,59.5161,13.9912,13.9235,3.9311,106.3312,6.5622,False
2012-02-03,19.36,19.75,19.3,14.420965484,5950100.0,0.2424,0.242,0.0004,13.8706,14.3734,13.3677,66.7179,14.0745,13.9605,7.2787,135.0995,10.2212,True
2012-02-06,19.5,19.54,19.17,14.2455457316,6085900.0,0.2434,0.2423,0.0011,13.9137,14.3891,13.4383,61.595,14.1359,13.9926,6.138,114.796,8.9676,True
2012-02-07,19.49,19.82,19.38,14.399038015,6395700.0,0.2536,0.2446,0.0091,13.9623,14.4274,13.4973,64.1739,14.2236,14.0511,7.6004,128.7306,11.1803,True
2012-02-08,18.05,18.4,17.66,12.9591342135,37425400.0,0.1439,0.2244,-0.0805,13.9305,14.5522,13.3088,38.3141,14.0087,13.9985,-2.3355,-7.7491,3.4764,False
2012-02-09,17.79,17.85,17.65,12.9664433698,8502300.0,0.0568,0.1909,-0.1341,13.8921,14.6397,13.1446,38.449,13.7982,13.9298,-5.1037,-23.7004,3.5515,False
2012-02-10,17.63,17.72,17.46,12.8531514464,10610600.0,-0.021,0.1485,-0.1696,13.8415,14.7158,12.9673,37.1016,13.4847,13.8584,-6.7368,-38.0983,4.9814,False
2012-02-13,17.74,17.85,17.61,12.8933518063,11061300.0,-0.0786,0.1031,-0.1817,13.798,14.7652,12.8309,37.9286,13.2142,13.7965,-5.5056,-30.4019,3.9095,False
2012-02-14,17.65,17.74,17.41,12.9225884317,10588800.0,-0.1205,0.0584,-0.1789,13.7681,14.8024,12.7338,38.5581,12.9189,13.7244,-6.9255,-40.5849,5.4204,False
2012-02-15,17.75,17.7607,17.54,12.88604265,14760800.0,-0.1548,0.0157,-0.1706,13.725,14.8285,12.6214,38.0414,12.9043,13.6328,-5.8786,-41.1585,5.2462,False
2012-02-16,17.65,17.81,17.6,13.0176074643,10583000.0,-0.1695,-0.0213,-0.1482,13.676,14.8133,12.5386,41.0864,12.9145,13.568,-6.9974,-36.3139,4.8267,False
2012-02-17,17.9,18.0,17.82,13.1345539659,5540000.0,-0.1697,-0.051,-0.1187,13.6365,14.7913,12.4817,43.7206,12.9708,13.51,-6.25,-22.317,3.2144,False
2012-02-21,18.02,18.03,17.65,12.9445159008,4567900.0,-0.1831,-0.0774,-0.1057,13.5927,14.7821,12.4032,40.5629,12.9811,13.4437,-5.9468,-39.0532,4.5502,False
2012-02-22,17.76,18.03,17.62,13.1637905914,7070000.0,-0.174,-0.0967,-0.0773,13.5506,14.7383,12.3629,45.435,13.0293,13.3906,-6.289,-34.1939,4.7861,False
2012-02-23,18.04,18.09,17.85,13.0541532461,6719100.0,-0.1737,-0.1121,-0.0616,13.4903,14.65,12.3307,43.5237,13.0629,13.3253,-7.5626,-33.8748,4.2621,False
2012-02-24,17.89,17.95,17.78,13.0687715588,5592900.0,-0.1703,-0.1238,-0.0465,13.4443,14.594,12.2945,43.8611,13.0732,13.262,-8.1372,-45.0633,4.8267,False
2012-02-27,17.68,18.0,17.62,13.1199356532,5992100.0,-0.1616,-0.1313,-0.0302,13.4001,14.5281,12.2721,45.0911,13.0702,13.1752,-6.4449,-50.6964,6.1137,False
2012-02-28,17.99,17.99,17.74,12.9956799952,9369200.0,-0.1628,-0.1376,-0.0252,13.3529,14.4657,12.2402,42.6591,13.0805,13.0919,-5.7622,-55.3658,6.1137,False
2012-02-29,17.82,17.91,17.43,12.7690961483,8717800.0,-0.18,-0.1461,-0.0339,13.2933,14.3971,12.1896,38.5923,13.0015,12.9833,-6.4752,-85.4372,8.5906,False
2012-03-01,17.54,17.64,17.44,12.7471686792,8421400.0,-0.1932,-0.1555,-0.0377,13.229,14.3023,12.1558,38.2146,12.9401,12.9691,-8.601,-97.5948,8.5906,False
2012-03-02,17.49,17.5,17.23,12.637531334,8844100.0,-0.2101,-0.1664,-0.0436,13.16,14.1982,12.1217,36.3106,12.8539,12.9472,-9.3264,-116.1376,10.2494,False
2012-03-05,17.29,17.33,17.08,12.5278939887,7384300.0,-0.2296,-0.1791,-0.0506,13.0653,13.962,12.1686,34.4705,12.7355,12.9255,-12.2532,-132.0012,11.4171,False
2012-03-06,16.99,17.15,16.99,12.4767298942,7131600.0,-0.2464,-0.1925,-0.0539,12.9769,13.7275,12.2263,33.6187,12.6317,12.8977,-12.2313,-141.7286,12.1147,False
