date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,32.55,32.85,32.24,26.5892863983,2374400.0,0.0781,0.0288,0.0493,27.5237,25.1442,26.334,54.5356,26.3926,26.0866,-2.4064,55.7883,1.2281,True
2012-01-04,32.35,32.35,31.81,26.3065088457,2501300.0,0.073,0.019,0.054,27.3781,25.1862,26.2821,51.1824,26.3606,26.0776,-4.1481,25.0043,0.6399,True
2012-01-05,32.07,32.42,31.87,26.5401076935,2691500.0,0.0868,0.0262,0.0606,27.2688,25.2291,26.2489,53.702,26.4278,26.1213,-3.0792,32.7955,0.3334,True
2012-01-06,32.33,32.51,32.04,26.3679822267,2531500.0,0.0829,0.0179,0.065,27.0936,25.3075,26.2006,51.5995,26.4163,26.1748,-3.244,32.0112,0.0646,True
2012-01-09,32.33,33.07,32.29,26.9417337827,2610200.0,0.1247,0.0477,0.077,27.1311,25.2897,26.2104,57.5369,26.5491,26.2759,-1.1656,70.0246,2.5113,True
2012-01-10,33.24,33.3,32.73,26.9909124876,1863400.0,0.1599,0.0663,0.0936,27.1763,25.2683,26.2223,58.01,26.6294,26.3699,1.6794,88.9922,3.4981,True
2012-01-11,32.9,33.01,32.63,26.9253408811,2476700.0,0.1805,0.0695,0.1109,27.245,25.248,26.2465,57.1012,26.7532,26.4923,1.9142,74.3493,3.0369,True
2012-01-12,32.99,33.58,32.84,27.42532438,3075800.0,0.2344,0.0988,0.1356,27.4303,25.2167,26.3235,61.9685,26.9303,26.5737,2.2845,113.6096,5.4782,True
2012-01-13,33.43,33.4752,32.87,27.0400911924,3475700.0,0.2432,0.0861,0.1571,27.4885,25.3061,26.3973,56.6614,27.0647,26.6322,4.9708,95.6716,5.4782,True
2012-01-17,33.15,33.3599,33.01,27.3351634212,3277300.0,0.2709,0.091,0.1799,27.5611,25.4245,26.4928,59.5074,27.1434,26.6901,5.9381,106.7134,5.4782,True
2012-01-18,33.81,35.4792,33.69,28.9334713274,8887500.0,0.417,0.1897,0.2273,28.0936,25.2272,26.6604,70.6812,27.5319,26.8513,11.1852,254.469,13.9501,True
2012-01-19,36.78,36.78,35.04,29.2121506546,13202500.0,0.549,0.2573,0.2917,28.5075,25.2256,26.8665,72.1185,27.9892,27.0344,17.0965,330.7687,18.5091,True
2012-01-20,35.5,35.87,35.315,29.318704515,5766200.0,0.6546,0.2904,0.3643,28.9486,25.096,27.0223,72.6674,28.3679,27.242,11.6402,291.6228,18.5091,True
2012-01-23,35.71,35.87,35.44,29.2449364578,3297200.0,0.724,0.2878,0.4362,29.2873,25.0654,27.1764,71.6215,28.8089,27.43,11.5846,270.2074,18.5091,True
2012-01-24,35.48,36.145,35.41,29.5564015883,3213500.0,0.795,0.287,0.508,29.6531,25.0087,27.3309,73.3563,29.2531,27.6485,10.8402,265.6037,19.4579,True
2012-01-25,35.63,35.98,35.01,29.113793245,6061900.0,0.8063,0.2386,0.5676,29.8749,25.0467,27.4608,67.1099,29.2892,27.8168,10.6396,219.4437,17.4354,True
2012-01-26,35.56,36.1,35.56,29.3760796706,4171600.0,0.8268,0.2073,0.6195,30.1121,25.1004,27.6063,68.7969,29.322,28.0215,11.0086,226.6678,17.8597,True
2012-01-27,35.84,36.05,35.66,29.4990264326,3165800.0,0.8433,0.1791,0.6642,30.3193,25.2227,27.771,69.5805,29.358,28.2187,11.5408,216.1944,17.8597,True
2012-01-30,35.64,36.14,35.241,29.3924725722,3447900.0,0.8381,0.1391,0.699,30.4825,25.3563,27.9194,67.9949,29.3876,28.4204,11.8885,191.1509,15.7126,True
2012-01-31,35.95,36.04,35.51,29.3842761214,2848100.0,0.8238,0.0998,0.724,30.5972,25.5521,28.0747,67.8674,29.3531,28.5832,11.2689,181.5467,15.7126,True
2012-02-01,36.16,36.745,35.88,29.7367235059,3829700.0,0.8313,0.0859,0.7454,30.757,25.7071,28.2321,70.422,29.4777,28.7663,11.8569,196.6259,18.3024,True
2012-02-02,36.25,36.63,36.1,29.6711518995,2617800.0,0.8226,0.0617,0.7609,30.8364,25.9641,28.4003,69.3234,29.5367,28.9493,13.2303,183.15,18.3024,True
2012-02-03,36.57,36.93,36.49,30.2612963571,2588500.0,0.8534,0.074,0.7794,30.994,26.1787,28.5864,73.3346,29.6892,29.1384,13.9112,192.9186,19.3924,True
2012-02-06,36.49,36.5,35.9,29.9170454235,1945000.0,0.8403,0.0488,0.7916,31.009,26.5186,28.7638,67.7942,29.7941,29.3302,12.8606,163.7605,17.2598,True
2012-02-07,36.2,36.57,36.0,29.9911994882,1985200.0,0.8264,0.0279,0.7985,31.0576,26.775,28.9163,68.3461,29.9155,29.5072,11.1623,157.2947,17.5219,True
2012-02-08,36.33,36.79,36.21,30.1559862985,1801900.0,0.8193,0.0166,0.8027,31.0872,27.0618,29.0745,69.5871,29.9993,29.5887,11.0586,156.5402,18.3488,True
2012-02-09,36.72,36.93,36.4,30.3619698115,2781700.0,0.8208,0.0145,0.8063,31.0741,27.4186,29.2464,71.1043,30.1375,29.6654,12.4606,154.4422,18.8751,True
2012-02-10,36.5,36.627,36.127,29.9294044343,2800700.0,0.7781,-0.0226,0.8007,31.0172,27.726,29.3716,63.9287,30.0711,29.7061,9.6446,130.6221,17.3747,False
2012-02-13,36.44,36.4999,35.66,29.8758487209,2116200.0,0.7315,-0.0553,0.7868,30.7748,28.2519,29.5134,63.0842,30.0629,29.7482,9.6062,115.0264,14.853,False
2012-02-14,36.12,36.53,36.105,30.0983109149,2739100.0,0.7044,-0.0659,0.7703,30.448,28.855,29.6515,65.134,30.0843,29.7843,10.0757,117.9361,14.9727,False
2012-02-15,36.56,36.96,36.389,30.0323961908,2253000.0,0.6699,-0.0804,0.7503,30.4469,28.966,29.7065,64.0057,30.0596,29.8455,4.7188,119.1922,16.675,False
2012-02-16,36.38,37.48,36.37,30.6091500271,4866900.0,0.6812,-0.0552,0.7365,30.5781,28.9745,29.7763,69.0345,30.109,29.9278,2.4364,126.726,18.6774,False
