date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,36.3,36.65,35.63,35.72,120900.0,-0.1443,-0.1434,0.0009,38.3688,36.6555,34.9422,46.1698,35.954,36.2413,-4.4329,0.5202,1.9072,False
2012-01-04,35.68,35.715,35.26,35.45,252500.0,-0.1523,-0.1894,-0.0372,38.2123,36.5305,34.8487,44.5423,35.726,36.1267,-7.1856,-36.3602,3.0766,False
2012-01-05,35.22,35.64,34.8812,35.4,186500.0,-0.1521,-0.2273,-0.0752,38.0483,36.409,34.7697,44.233,35.666,36.0607,-6.383,-50.5749,4.2649,False
2012-01-06,35.36,35.52,34.97,35.11,194400.0,-0.1619,-0.2776,-0.1157,37.7514,36.252,34.7526,42.4028,35.492,35.9807,-7.5,-60.4,4.2649,False
2012-01-09,35.19,35.42,34.89,34.95,169400.0,-0.1687,-0.3265,-0.1578,37.6511,36.1335,34.6159,41.3905,35.326,35.8627,-7.4548,-70.1047,4.5205,False
2012-01-10,35.33,35.61,35.2,35.27,105100.0,-0.1423,-0.3357,-0.1934,37.2408,35.99,34.7392,44.243,35.236,35.746,-6.8289,-53.3651,3.8507,False
2012-01-11,35.15,35.69,35.03,35.59,84500.0,-0.096,-0.3135,-0.2174,37.0482,35.911,34.7738,47.0063,35.264,35.7653,-5.1555,-49.608,4.4081,False
2012-01-12,35.5,35.5499,34.93,34.99,190700.0,-0.0983,-0.3403,-0.242,37.0231,35.841,34.6589,42.75,35.182,35.6827,-5.8779,-72.633,4.7385,False
2012-01-13,34.61,35.14,34.61,34.97,190300.0,-0.0937,-0.3591,-0.2654,36.9935,35.774,34.5545,42.6122,35.154,35.6267,-3.4615,-93.4293,5.7979,False
2012-01-17,35.2,35.64,35.0,35.55,95100.0,-0.0464,-0.3235,-0.277,36.8576,35.7155,34.5734,47.8367,35.274,35.5713,-3.1522,-59.4698,3.9607,False
2012-01-18,35.53,36.54,35.27,36.54,86400.0,0.0513,-0.2129,-0.2642,36.7392,35.6915,34.6438,55.282,35.528,35.5727,-2.9997,-7.6182,0.7579,True
2012-01-19,36.56,37.46,36.3521,37.26,132700.0,0.1583,-0.0664,-0.2247,37.0227,35.7895,34.5563,59.7577,35.862,35.6173,0.7802,62.1868,2.3688,True
2012-01-20,37.17,37.63,37.01,37.58,105000.0,0.2395,0.0747,-0.1648,37.3078,35.857,34.4062,61.5885,36.38,35.7427,2.2832,89.2567,2.9348,True
2012-01-23,37.62,38.07,37.27,37.63,68200.0,0.2825,0.1883,-0.0942,37.5912,35.948,34.3048,61.8788,36.912,35.8527,5.4279,104.8929,4.3938,True
2012-01-24,37.25,37.5,37.125,37.28,88100.0,0.2732,0.2473,-0.0259,37.7278,35.993,34.2582,58.5592,37.258,35.9527,2.4165,73.9926,3.8706,True
2012-01-25,37.34,37.68,36.89,37.54,209600.0,0.2699,0.3114,0.0416,37.8939,36.044,34.1941,60.2562,37.458,36.074,3.0353,77.9752,3.0196,True
2012-01-26,37.68,37.82,37.5,37.72,151600.0,0.2647,0.3725,0.1078,38.0783,36.1005,34.1227,61.4278,37.55,36.2253,2.4988,99.3566,3.4986,True
2012-01-27,37.62,37.93,37.59,37.9,44200.0,0.2581,0.4305,0.1723,38.3268,36.2105,34.0942,62.6088,37.614,36.392,3.3233,104.4698,3.8779,True
2012-01-30,37.65,37.98,37.54,37.81,80500.0,0.2332,0.4638,0.2306,38.526,36.302,34.078,61.5985,37.65,36.572,5.2953,98.8563,3.6895,True
2012-01-31,38.1,38.1,37.55,37.84,143200.0,0.2051,0.487,0.2819,38.712,36.405,34.098,61.8185,37.762,36.7647,5.3942,99.3689,4.114,True
2012-02-01,38.06,40.0,37.88,39.865,443300.0,0.3034,0.6612,0.3577,39.3419,36.6123,33.8826,73.0059,38.227,37.071,9.1405,195.1244,10.4677,True
